ex,AC,DC,median_shortest_path_length_left_to_right
100,-11.851851851851848,8.855301379811186,-2.0
104,-5.526620370370367,4.482323232323231,-3.0
108,-18.55709876543211,8.819444444444452,-8.5
113,-13.618173258003772,11.826599326599336,-10.5
117,-2.82738095238095,2.756734006734007,-2.0
122,-3.147163120567374,3.928571428571426,-0.5
201,-6.588319088319093,-6.628787878787867,-11.5
207,-14.467592592592592,11.20495495495496,-6.75
212,-9.160595021250758,7.59126984126984,-3.0
217,-15.132669983416257,8.379192872117391,-5.0
222,-8.194444444444443,4.219077568134171,-7.0
231,-10.294669669669672,9.826388888888896,-4.0
101,-10.549999999999994,12.01292438271605,-2.5
105,-14.334150326797392,5.025584795321636,-2.0
109,-8.97790055248619,7.964135021097043,-2.0
114,-20.157325467059987,-15.314980158730156,-5.0
118,-5.871647509578541,2.07319545823195,-2.0
123,-9.735324947589104,9.82789855072465,-12.5
202,-21.41426282051281,15.525223499361433,-6.0
208,-21.052631578947373,-4.206349206349207,-16.5
213,-3.379382055852646,1.3654477262072224,-1.0
219,-12.715517241379317,10.333333333333336,-14.5
223,-6.629572118702555,2.09453405017921,-3.0
232,110.20671834625324,75.69444444444444,-8.0
102,-10.416666666666668,11.159560723514211,-2.5
106,-15.679824561403516,9.771825396825385,-12.0
111,-8.544509421702402,6.151871980676328,-5.0
115,-10.439068100358428,8.605480480480479,-8.25
119,-49.058380414312616,-23.028673835125453,-12.75
124,-5.719339622641506,3.5684818481848124,-3.5
203,11.805555555555562,-3.1099033816425057,-22.0
209,-8.184770591487016,4.04610339506173,-4.0
214,-37.147266313932974,-7.205657492354748,-11.0
220,-5.336257309941518,4.783442982456141,-2.0
228,-40.26360544217686,-7.899305555555557,-10.75
233,-31.70138888888888,-15.095628415300553,-10.5
103,-10.069444444444438,10.793496985357448,-2.5
107,-12.25863821138211,12.069640062597813,-2.0
112,-2.9011562323745044,2.5499706055261586,-1.0
116,-7.200292397660819,2.0585317460317483,-1.5
121,-5.349235104669886,5.502136752136753,-2.0
200,-12.559523809523808,2.8149801587301657,-9.5
205,-5.264778325123149,4.460337202874518,-1.0
210,-20.31565656565657,-1.0497416020671837,-11.5
215,-7.251756066411238,2.470841006752613,-3.0
221,-54.73484848484848,-84.37500000000001,-18.5
230,-8.257113821138208,8.790751829673983,-1.0
234,-5.448201825013415,5.111393119007332,-1.75
